reading_id,timestamp,transformer_id,lt_section,voltage_v,current_a,power_kw,power_factor,frequency_hz,phase_imbalance_pct,status
800,2026-08-01 00:13:19,TR-103,LT-005,230.12,10.375,2.174,0.911,50.123,3.23,NORMAL
3571,2026-08-01 00:59:30,TR-101,LT-006,228.81,9.987,2.15,0.941,50.084,1.14,NORMAL
2895,2026-08-01 00:48:14,TR-104,LT-005,232.03,7.328,1.575,0.926,50.074,2.69,NORMAL
2928,2026-08-01 00:48:47,TR-101,LT-005,230.86,6.994,1.5,0.929,49.94,1.19,NORMAL
8179,2026-08-01 00:02:58,TR-104,LT-003,176.91,7.864,1.154,0.829,50.027,17.42,WARNING
972,2026-08-01 00:16:11,TR-103,LT-005,227.28,10.959,2.329,0.935,50.024,1.2,NORMAL
6688,2026-08-01 01:51:27,TR-102,LT-001,226.3,6.789,1.425,0.927,49.896,1.59,NORMAL
8576,2026-08-01 00:09:35,TR-101,LT-001,191.86,7.145,1.104,0.805,49.966,10.16,WARNING
2021,2026-08-01 00:33:40,TR-104,LT-003,230.24,11.09,2.398,0.939,49.96,2.7,NORMAL
9055,2026-08-01 00:17:34,TR-104,LT-002,164.34,5.328,0.667,0.762,49.878,5.48,WARNING
953,2026-08-01 00:15:52,TR-102,LT-003,224.99,6.123,1.292,0.938,50.124,3.06,NORMAL
5360,2026-08-01 01:29:19,TR-102,LT-002,228.9,9.984,2.088,0.914,49.977,1.66,NORMAL
3858,2026-08-01 01:04:17,TR-103,LT-006,232.37,10.056,2.197,0.94,49.952,2.42,NORMAL
5862,2026-08-01 01:37:41,TR-103,LT-003,234.91,11.083,2.514,0.966,49.974,2.44,NORMAL
3146,2026-08-01 00:52:25,TR-101,LT-001,231.88,9.797,2.169,0.955,50.037,2.31,NORMAL
3306,2026-08-01 00:55:05,TR-104,LT-006,234.25,6.902,1.536,0.95,50.003,1.69,NORMAL
3007,2026-08-01 00:50:06,TR-102,LT-006,231.94,7.067,1.564,0.954,50.003,2.49,NORMAL
9002,2026-08-01 00:16:41,TR-104,LT-006,195.49,10.361,1.472,0.727,49.958,9.6,WARNING
7771,2026-08-01 02:09:30,TR-101,LT-004,233.57,5.483,1.197,0.935,49.903,0.21,NORMAL
7439,2026-08-01 02:03:58,TR-101,LT-006,223.94,8.202,1.813,0.987,50.16,0.41,NORMAL
7943,2026-08-01 02:12:22,TR-101,LT-002,224.22,7.255,1.538,0.946,49.981,3.5,NORMAL
9239,2026-08-01 00:00:38,TR-104,LT-001,69.33,0.319,0.006,0.255,49.988,31.29,POSSIBLE_BROKEN_LT
1057,2026-08-01 00:17:36,TR-102,LT-003,229.9,7.633,1.684,0.96,50.141,0.8,NORMAL
3155,2026-08-01 00:52:34,TR-101,LT-001,225.85,5.923,1.253,0.937,49.919,2.74,NORMAL
3788,2026-08-01 01:03:07,TR-103,LT-005,226.46,10.223,2.091,0.903,49.992,1.59,NORMAL
9190,2026-08-01 00:19:49,TR-104,LT-001,167.81,7.792,1.108,0.847,49.924,10.17,WARNING
7826,2026-08-01 02:10:25,TR-104,LT-003,234.66,4.882,1.085,0.947,49.976,4.01,NORMAL
7540,2026-08-01 02:05:39,TR-101,LT-004,228.76,8.726,1.959,0.982,50.035,4.14,NORMAL
7232,2026-08-01 02:00:31,TR-101,LT-002,236.75,7.39,1.607,0.919,49.91,1.36,NORMAL
765,2026-08-01 00:12:44,TR-103,LT-006,234.6,7.871,1.732,0.938,49.985,3.0,NORMAL
5020,2026-08-01 01:23:39,TR-104,LT-002,231.59,7.493,1.678,0.967,50.018,0.71,NORMAL
4904,2026-08-01 01:21:43,TR-102,LT-005,228.51,9.018,1.874,0.91,50.114,2.34,NORMAL
8094,2026-08-01 00:01:33,TR-101,LT-003,167.67,14.709,1.796,0.728,49.987,12.46,WARNING
6844,2026-08-01 01:54:03,TR-104,LT-003,226.6,8.946,1.947,0.96,49.956,3.19,NORMAL
2166,2026-08-01 00:36:05,TR-103,LT-006,225.94,9.002,1.953,0.96,49.974,1.75,NORMAL
1863,2026-08-01 00:31:02,TR-102,LT-003,233.17,9.062,1.947,0.921,49.94,3.09,NORMAL
7851,2026-08-01 02:10:50,TR-104,LT-003,238.01,11.666,2.469,0.889,50.075,0.53,NORMAL
9124,2026-08-01 00:18:43,TR-102,LT-005,190.68,5.996,1.003,0.877,50.001,5.79,WARNING
2341,2026-08-01 00:39:00,TR-103,LT-004,232.8,7.099,1.557,0.942,50.07,1.49,NORMAL
5528,2026-08-01 01:32:07,TR-102,LT-006,230.05,9.25,1.999,0.939,49.894,1.88,NORMAL
6744,2026-08-01 01:52:23,TR-101,LT-002,224.03,9.264,1.92,0.925,49.867,1.62,NORMAL
4004,2026-08-01 01:06:43,TR-101,LT-003,231.89,7.917,1.752,0.954,50.076,1.1,NORMAL
1124,2026-08-01 00:18:43,TR-104,LT-004,225.43,8.028,1.724,0.953,49.931,1.47,NORMAL
8710,2026-08-01 00:11:49,TR-103,LT-002,160.25,11.091,1.552,0.873,49.948,14.82,WARNING
4050,2026-08-01 01:07:29,TR-103,LT-004,231.57,7.074,1.474,0.9,50.159,1.62,NORMAL
7641,2026-08-01 02:07:20,TR-102,LT-006,221.73,8.396,1.763,0.947,49.935,3.68,NORMAL
766,2026-08-01 00:12:45,TR-101,LT-003,227.19,7.09,1.522,0.945,50.098,1.27,NORMAL
2345,2026-08-01 00:39:04,TR-104,LT-005,221.39,9.235,1.831,0.896,50.041,2.15,NORMAL
4072,2026-08-01 01:07:51,TR-104,LT-006,227.18,9.619,2.091,0.957,50.068,3.15,NORMAL
7217,2026-08-01 02:00:16,TR-102,LT-005,227.63,6.231,1.357,0.957,49.973,2.78,NORMAL
4217,2026-08-01 01:10:16,TR-103,LT-002,237.43,7.258,1.66,0.963,50.096,1.0,NORMAL
7953,2026-08-01 02:12:32,TR-102,LT-003,228.92,6.289,1.365,0.948,50.104,1.22,NORMAL
5971,2026-08-01 01:39:30,TR-104,LT-004,233.9,7.491,1.586,0.905,50.082,2.66,NORMAL
3351,2026-08-01 00:55:50,TR-104,LT-001,227.92,5.317,1.135,0.937,49.959,1.71,NORMAL
4696,2026-08-01 01:18:15,TR-102,LT-002,229.21,10.217,2.13,0.91,49.88,0.3,NORMAL
3400,2026-08-01 00:56:39,TR-103,LT-004,228.38,7.579,1.624,0.938,50.13,2.02,NORMAL
4082,2026-08-01 01:08:01,TR-104,LT-005,227.21,8.189,1.722,0.925,50.168,2.43,NORMAL
9150,2026-08-01 00:19:09,TR-101,LT-002,204.26,6.189,1.179,0.933,50.016,12.16,WARNING
1225,2026-08-01 00:20:24,TR-101,LT-005,229.26,5.011,1.116,0.971,50.023,0.95,NORMAL
6293,2026-08-01 01:44:52,TR-104,LT-003,232.02,6.3,1.321,0.903,50.013,3.16,NORMAL
3123,2026-08-01 00:52:02,TR-104,LT-005,231.96,9.315,1.964,0.909,49.999,2.0,NORMAL
511,2026-08-01 00:08:30,TR-104,LT-005,231.08,8.006,1.687,0.912,49.971,3.07,NORMAL
5795,2026-08-01 01:36:34,TR-103,LT-005,228.86,6.398,1.333,0.91,49.902,3.65,NORMAL
8182,2026-08-01 00:03:01,TR-104,LT-002,192.96,12.297,1.762,0.743,50.108,11.18,WARNING
9418,2026-08-01 00:03:37,TR-103,LT-004,96.33,0.439,0.014,0.334,49.998,46.35,POSSIBLE_BROKEN_LT
97,2026-08-01 00:01:36,TR-101,LT-004,231.18,10.307,2.242,0.941,50.0,2.4,NORMAL
6682,2026-08-01 01:51:21,TR-103,LT-006,231.07,9.153,1.923,0.909,50.036,2.08,NORMAL
1513,2026-08-01 00:25:12,TR-101,LT-006,227.13,9.959,2.188,0.967,49.951,2.68,NORMAL
8792,2026-08-01 00:13:11,TR-104,LT-002,183.2,8.096,1.231,0.83,49.989,16.2,WARNING
120,2026-08-01 00:01:59,TR-104,LT-004,233.01,8.021,1.719,0.92,50.047,2.71,NORMAL
7792,2026-08-01 02:09:51,TR-103,LT-002,226.83,5.607,1.198,0.942,50.03,0.92,NORMAL
6518,2026-08-01 01:48:37,TR-101,LT-002,230.58,7.072,1.534,0.941,50.045,3.75,NORMAL
34,2026-08-01 00:00:33,TR-101,LT-001,225.77,9.571,2.099,0.971,50.069,0.16,NORMAL
7888,2026-08-01 02:11:27,TR-103,LT-005,223.38,7.85,1.696,0.967,49.985,1.39,NORMAL
6831,2026-08-01 01:53:50,TR-102,LT-004,231.77,9.266,1.875,0.873,49.782,3.34,NORMAL
5422,2026-08-01 01:30:21,TR-103,LT-005,225.24,8.519,1.65,0.86,50.097,0.88,NORMAL
1069,2026-08-01 00:17:48,TR-102,LT-006,228.13,10.983,2.304,0.919,49.995,1.26,NORMAL
1348,2026-08-01 00:22:27,TR-101,LT-002,233.74,9.5,2.126,0.957,50.034,2.03,NORMAL
4748,2026-08-01 01:19:07,TR-102,LT-001,225.66,6.407,1.324,0.916,49.948,1.94,NORMAL
6006,2026-08-01 01:40:05,TR-103,LT-006,233.35,7.006,1.513,0.925,50.026,2.69,NORMAL
6040,2026-08-01 01:40:39,TR-101,LT-003,233.27,9.072,1.963,0.928,50.017,2.12,NORMAL
3818,2026-08-01 01:03:37,TR-102,LT-005,229.51,8.842,1.935,0.953,49.894,1.6,NORMAL
8447,2026-08-01 00:07:26,TR-103,LT-001,195.2,12.289,2.032,0.847,50.023,12.82,WARNING
5270,2026-08-01 01:27:49,TR-101,LT-002,232.9,8.068,1.812,0.964,49.847,1.65,NORMAL
6898,2026-08-01 01:54:57,TR-101,LT-006,225.5,6.697,1.386,0.918,49.965,0.39,NORMAL
5310,2026-08-01 01:28:29,TR-103,LT-001,226.09,5.282,1.093,0.916,50.165,0.97,NORMAL
32,2026-08-01 00:00:31,TR-104,LT-001,237.41,11.004,2.379,0.911,50.042,1.47,NORMAL
5675,2026-08-01 01:34:34,TR-102,LT-006,224.72,7.571,1.638,0.963,49.89,4.16,NORMAL
4387,2026-08-01 01:13:06,TR-102,LT-003,227.25,7.343,1.589,0.952,49.892,1.1,NORMAL
30,2026-08-01 00:00:29,TR-103,LT-005,228.83,8.166,1.825,0.977,49.926,2.49,NORMAL
4203,2026-08-01 01:10:02,TR-104,LT-004,226.06,5.381,1.138,0.936,49.99,0.09,NORMAL
7508,2026-08-01 02:05:07,TR-102,LT-003,226.9,7.481,1.669,0.983,49.969,2.79,NORMAL
736,2026-08-01 00:12:15,TR-101,LT-001,231.89,6.726,1.467,0.94,49.931,2.63,NORMAL
2068,2026-08-01 00:34:27,TR-101,LT-006,229.46,8.867,1.942,0.954,50.084,1.91,NORMAL
107,2026-08-01 00:01:46,TR-104,LT-006,237.54,7.923,1.772,0.942,50.02,1.64,NORMAL
9645,2026-08-01 00:07:24,TR-101,LT-001,51.05,0.318,0.009,0.567,49.851,35.16,POSSIBLE_BROKEN_LT
8895,2026-08-01 00:14:54,TR-103,LT-004,124.08,13.694,1.58,0.93,50.051,4.02,WARNING
8021,2026-08-01 00:00:20,TR-103,LT-004,170.87,5.807,0.858,0.864,49.96,13.06,WARNING
2233,2026-08-01 00:37:12,TR-104,LT-001,222.12,6.212,1.257,0.911,50.109,1.59,NORMAL
994,2026-08-01 00:16:33,TR-104,LT-006,227.27,4.373,0.943,0.948,49.861,1.02,NORMAL
9413,2026-08-01 00:03:32,TR-103,LT-005,97.2,0.309,0.008,0.256,49.886,12.74,POSSIBLE_BROKEN_LT
7059,2026-08-01 01:57:38,TR-103,LT-005,237.81,11.824,2.614,0.93,50.127,0.26,NORMAL
6790,2026-08-01 01:53:09,TR-103,LT-004,232.75,8.051,1.771,0.945,49.936,1.54,NORMAL
361,2026-08-01 00:06:00,TR-103,LT-001,232.08,9.31,1.979,0.916,49.992,1.13,NORMAL
305,2026-08-01 00:05:04,TR-102,LT-001,229.92,9.663,2.061,0.928,49.967,2.51,NORMAL
2628,2026-08-01 00:43:47,TR-104,LT-006,232.79,6.572,1.475,0.964,50.066,1.08,NORMAL
8966,2026-08-01 00:16:05,TR-102,LT-002,205.74,12.962,2.378,0.891,50.032,10.56,WARNING
4514,2026-08-01 01:15:13,TR-103,LT-003,226.26,9.676,2.073,0.947,50.138,2.1,NORMAL
5911,2026-08-01 01:38:30,TR-103,LT-003,232.02,6.281,1.376,0.944,49.943,1.6,NORMAL
8314,2026-08-01 00:05:13,TR-102,LT-004,193.73,9.369,1.4,0.772,49.964,14.19,WARNING
3101,2026-08-01 00:51:40,TR-104,LT-002,227.17,8.742,1.907,0.96,50.077,1.53,NORMAL
5704,2026-08-01 01:35:03,TR-101,LT-001,227.58,6.498,1.455,0.984,49.786,1.75,NORMAL
3899,2026-08-01 01:04:58,TR-104,LT-001,231.72,4.58,1.025,0.966,49.883,2.36,NORMAL
5441,2026-08-01 01:30:40,TR-102,LT-003,227.59,10.546,2.218,0.924,50.05,3.04,NORMAL
7931,2026-08-01 02:12:10,TR-102,LT-002,232.43,5.649,1.244,0.948,49.991,1.61,NORMAL
622,2026-08-01 00:10:21,TR-104,LT-005,231.89,9.386,2.057,0.945,50.042,2.32,NORMAL
7236,2026-08-01 02:00:35,TR-104,LT-005,235.15,8.388,1.778,0.902,50.022,0.53,NORMAL
2499,2026-08-01 00:41:38,TR-104,LT-006,233.16,10.495,2.371,0.969,49.976,1.11,NORMAL
714,2026-08-01 00:11:53,TR-103,LT-006,231.6,7.343,1.565,0.92,50.106,2.49,NORMAL
8404,2026-08-01 00:06:43,TR-103,LT-006,180.34,13.825,2.042,0.819,50.006,7.56,WARNING
2856,2026-08-01 00:47:35,TR-101,LT-006,227.95,6.461,1.46,0.991,50.086,2.57,NORMAL
4270,2026-08-01 01:11:09,TR-102,LT-006,233.72,6.455,1.408,0.934,50.145,2.35,NORMAL
2909,2026-08-01 00:48:28,TR-103,LT-006,228.2,6.914,1.495,0.947,50.066,2.0,NORMAL
8081,2026-08-01 00:01:20,TR-104,LT-001,167.06,11.553,1.624,0.842,50.084,14.26,WARNING
4517,2026-08-01 01:15:16,TR-104,LT-004,228.33,8.971,1.993,0.973,49.974,1.37,NORMAL
1262,2026-08-01 00:21:01,TR-101,LT-005,230.3,10.987,2.454,0.97,50.044,3.21,NORMAL
3161,2026-08-01 00:52:40,TR-104,LT-004,227.57,10.65,2.228,0.919,50.058,1.69,NORMAL
971,2026-08-01 00:16:10,TR-103,LT-004,230.51,7.218,1.524,0.916,50.054,1.48,NORMAL
3913,2026-08-01 01:05:12,TR-103,LT-001,234.04,7.73,1.763,0.974,50.092,2.13,NORMAL
5199,2026-08-01 01:26:38,TR-104,LT-006,226.61,9.572,2.087,0.962,49.912,1.42,NORMAL
8847,2026-08-01 00:14:06,TR-101,LT-006,194.02,6.616,0.895,0.697,50.0,16.17,WARNING
260,2026-08-01 00:04:19,TR-102,LT-003,233.1,8.538,1.871,0.94,49.979,3.09,NORMAL
3791,2026-08-01 01:03:10,TR-102,LT-002,232.34,4.898,1.095,0.962,49.992,4.76,NORMAL
9203,2026-08-01 00:00:02,TR-102,LT-002,89.49,0.11,0.003,0.347,50.077,49.16,POSSIBLE_BROKEN_LT
488,2026-08-01 00:08:07,TR-101,LT-004,225.67,6.031,1.276,0.938,50.046,2.16,NORMAL
7908,2026-08-01 02:11:47,TR-104,LT-006,228.89,7.593,1.562,0.899,50.023,2.43,NORMAL
519,2026-08-01 00:08:38,TR-102,LT-006,230.4,6.731,1.452,0.936,50.0,3.37,NORMAL
8343,2026-08-01 00:05:42,TR-104,LT-006,183.57,7.149,1.17,0.892,50.105,1.96,WARNING
312,2026-08-01 00:05:11,TR-103,LT-004,234.4,13.397,2.813,0.896,49.982,2.53,NORMAL
3232,2026-08-01 00:53:51,TR-103,LT-006,221.9,6.822,1.402,0.927,49.872,2.3,NORMAL
7933,2026-08-01 02:12:12,TR-102,LT-006,229.3,7.192,1.568,0.951,50.046,1.9,NORMAL
7458,2026-08-01 02:04:17,TR-102,LT-006,233.04,7.669,1.692,0.947,49.915,1.65,NORMAL
9784,2026-08-01 00:09:43,TR-103,LT-003,57.22,0.01,0.0,0.533,50.081,59.42,POSSIBLE_BROKEN_LT
5184,2026-08-01 01:26:23,TR-102,LT-004,231.47,8.323,1.784,0.926,49.97,4.05,NORMAL
8077,2026-08-01 00:01:16,TR-101,LT-001,153.24,10.845,1.154,0.694,50.032,11.98,WARNING
6502,2026-08-01 01:48:21,TR-104,LT-006,225.16,8.034,1.749,0.967,49.98,3.36,NORMAL
6791,2026-08-01 01:53:10,TR-104,LT-003,229.65,8.499,1.912,0.98,49.935,0.64,NORMAL
7773,2026-08-01 02:09:32,TR-104,LT-005,228.84,6.392,1.385,0.947,49.889,2.09,NORMAL
2738,2026-08-01 00:45:37,TR-104,LT-004,231.37,5.999,1.221,0.879,50.176,3.45,NORMAL
7842,2026-08-01 02:10:41,TR-103,LT-002,228.21,6.294,1.38,0.961,49.918,1.28,NORMAL
6262,2026-08-01 01:44:21,TR-103,LT-002,233.09,7.837,1.664,0.911,49.996,2.12,NORMAL
8206,2026-08-01 00:03:25,TR-102,LT-006,195.03,7.587,1.208,0.816,49.88,17.35,WARNING
1248,2026-08-01 00:20:47,TR-104,LT-003,226.92,6.018,1.281,0.938,50.044,2.42,NORMAL
9336,2026-08-01 00:02:15,TR-103,LT-003,69.26,0.322,0.011,0.491,50.017,49.95,POSSIBLE_BROKEN_LT
4195,2026-08-01 01:09:54,TR-101,LT-006,220.45,9.415,2.04,0.983,50.061,3.11,NORMAL
8001,2026-08-01 00:00:00,TR-104,LT-005,170.87,12.912,1.856,0.841,50.035,12.06,WARNING
7378,2026-08-01 02:02:57,TR-101,LT-006,232.44,10.299,2.33,0.974,49.999,1.12,NORMAL
3435,2026-08-01 00:57:14,TR-104,LT-004,239.09,4.641,1.041,0.939,49.934,2.6,NORMAL
5382,2026-08-01 01:29:41,TR-103,LT-002,227.52,10.452,2.142,0.901,50.004,4.11,NORMAL
959,2026-08-01 00:15:58,TR-104,LT-001,232.28,9.906,2.049,0.89,50.051,0.82,NORMAL
417,2026-08-01 00:06:56,TR-102,LT-001,236.2,7.87,1.659,0.892,50.058,1.01,NORMAL
5742,2026-08-01 01:35:41,TR-101,LT-001,226.03,6.018,1.296,0.953,50.034,2.66,NORMAL
6728,2026-08-01 01:52:07,TR-102,LT-001,229.11,8.736,1.871,0.935,49.793,1.19,NORMAL
4382,2026-08-01 01:13:01,TR-102,LT-001,230.7,12.749,2.613,0.888,50.023,2.89,NORMAL
5197,2026-08-01 01:26:36,TR-101,LT-002,234.12,10.692,2.247,0.898,49.957,2.14,NORMAL
1113,2026-08-01 00:18:32,TR-104,LT-003,233.48,10.124,2.205,0.933,49.945,2.76,NORMAL
2689,2026-08-01 00:44:48,TR-104,LT-006,233.03,10.423,2.26,0.931,50.027,2.58,NORMAL
6473,2026-08-01 01:47:52,TR-102,LT-006,230.52,5.05,1.09,0.937,49.963,2.71,NORMAL
8820,2026-08-01 00:13:39,TR-103,LT-002,204.42,9.68,1.429,0.722,50.0,13.15,WARNING
7808,2026-08-01 02:10:07,TR-104,LT-001,236.89,6.787,1.548,0.963,50.047,1.08,NORMAL
3411,2026-08-01 00:56:50,TR-104,LT-001,227.3,6.716,1.474,0.965,49.974,1.62,NORMAL
81,2026-08-01 00:01:20,TR-104,LT-001,229.12,6.605,1.415,0.935,49.883,1.59,NORMAL
4614,2026-08-01 01:16:53,TR-101,LT-003,227.95,11.114,2.351,0.928,49.968,2.24,NORMAL
1374,2026-08-01 00:22:53,TR-102,LT-003,223.55,8.662,1.862,0.961,50.111,2.06,NORMAL
1510,2026-08-01 00:25:09,TR-101,LT-005,235.91,9.658,2.205,0.968,49.998,1.38,NORMAL
